first,last,birth,N
A,D,1915,2288
A,D,1916,2369
A,D,1917,2383
A,D,1918,2496
A,D,1919,2339
A,D,1920,2714
A,D,1921,2719
A,D,1922,2595
A,D,1923,2550
A,D,1924,2530
A,D,1925,2447
A,D,1926,2381
A,D,1927,2368
A,D,1928,2296
A,D,1929,2209
A,D,1930,2172
A,D,1931,1919
A,D,1932,1774
A,D,1933,1654
A,D,1934,1678
A,D,1935,1551
A,D,1936,1340
A,D,1937,1293
A,D,1938,1205
A,D,1939,1118
A,D,1940,1079
A,D,1941,1077
A,D,1942,1087
A,D,1943,1084
A,D,1944,1007
A,D,1945,908
A,D,1946,1006
A,D,1947,1113
A,D,1948,996
A,D,1949,962
A,D,1950,953
A,D,1951,1064
A,D,1952,1000
A,D,1953,1054
A,D,1954,1020
A,D,1955,994
A,D,1956,921
A,D,1957,834
A,D,1958,789
A,D,1959,754
A,D,1960,677
A,D,1961,587
A,D,1962,558
A,D,1963,434
A,D,1964,409
A,D,1965,313
A,D,1966,286
A,D,1967,247
A,D,1968,229
A,D,1969,177
A,D,1970,185
A,D,1971,181
A,D,1972,135
A,D,1973,122
A,D,1974,121
A,D,1975,141
A,D,1976,105
A,D,1977,101
A,D,1978,109
A,D,1979,93
A,D,1980,108
A,D,1981,78
A,D,1982,111
A,D,1983,81
A,D,1984,77
A,D,1985,69
A,D,1986,72
A,D,1987,57
A,D,1988,50
A,D,1989,35
A,D,1990,36
A,D,1991,31
A,D,1992,37
A,D,1993,35
A,D,1994,40
A,D,1995,29
A,D,1996,28
A,D,1997,33
A,D,1998,27
A,D,1999,35
A,D,2000,27
A,D,2001,34
A,D,2002,30
A,D,2003,25
A,D,2004,26
A,D,2005,18
A,D,2006,20
A,D,2007,16
A,D,2008,14
A,D,2009,13
A,D,2010,6
A,D,2011,6
A,E,1800,0
A,E,1801,0
A,E,1802,0
A,E,1803,0
A,E,1804,0
A,E,1805,0
A,E,1806,0
A,E,1807,0
A,E,1808,0
A,E,1809,0
A,E,1810,0
A,E,1811,0
A,E,1812,1
A,E,1813,0
A,E,1814,0
A,E,1815,0
A,E,1816,0
A,E,1817,1
A,E,1818,2
A,E,1819,1
A,E,1820,0
A,E,1821,0
A,E,1822,0
A,E,1823,0
A,E,1824,0
A,E,1825,0
A,E,1826,0
A,E,1827,0
A,E,1828,0
A,E,1829,0
A,E,1830,0
A,E,1831,0
A,E,1832,0
A,E,1833,0
A,E,1834,0
A,E,1835,0
A,E,1836,0
A,E,1837,0
A,E,1838,0
A,E,1839,1
A,E,1840,0
A,E,1841,0
A,E,1842,0
A,E,1843,0
A,E,1844,0
A,E,1845,0
A,E,1846,0
A,E,1847,0
A,E,1848,1
A,E,1849,0
A,E,1850,0
A,E,1851,1
A,E,1852,0
A,E,1853,0
A,E,1854,0
A,E,1855,0
A,E,1856,3
A,E,1857,0
A,E,1858,0
A,E,1859,0
A,E,1860,0
A,E,1861,0
A,E,1862,2
A,E,1863,1
A,E,1864,3
A,E,1865,4
A,E,1866,2
A,E,1867,10
A,E,1868,23
A,E,1869,32
A,E,1870,46
A,E,1871,69
A,E,1872,85
A,E,1873,127
A,E,1874,178
A,E,1875,211
A,E,1876,330
A,E,1877,338
A,E,1878,435
A,E,1879,548
A,E,1880,686
A,E,1881,774
A,E,1882,955
A,E,1883,1120
A,E,1884,1243
A,E,1885,1412
A,E,1886,1609
A,E,1887,1755
A,E,1888,2074
A,E,1889,2211
A,E,1890,2470
A,E,1891,2622
A,E,1892,2922
A,E,1893,3024
A,E,1894,3338
A,E,1895,3388
A,E,1896,3483
A,E,1897,3418
A,E,1898,3637
A,E,1899,3707
A,E,1900,4099
A,E,1901,4041
A,E,1902,4296
A,E,1903,4452
A,E,1904,4538
A,E,1905,4750
A,E,1906,4880
A,E,1907,5196
A,E,1908,5066
A,E,1909,5124
A,E,1910,5265
A,E,1911,5102
A,E,1912,5395
A,E,1913,5282
A,E,1914,5352
A,E,1915,5231
A,E,1916,4998
A,E,1917,4869
A,E,1918,4945
A,E,1919,4631
A,E,1920,4574
A,E,1921,4664
A,E,1922,4321
A,E,1923,3964
A,E,1924,3812
A,E,1925,3587
A,E,1926,3285
A,E,1927,3129
A,E,1928,2666
A,E,1929,2483
A,E,1930,2228
A,E,1931,1856
A,E,1932,1796
A,E,1933,1532
A,E,1934,1469
A,E,1935,1254
A,E,1936,1196
A,E,1937,1185
A,E,1938,1022
A,E,1939,938
A,E,1940,912
A,E,1941,820
A,E,1942,795
A,E,1943,784
A,E,1944,721
A,E,1945,593
A,E,1946,591
A,E,1947,659
A,E,1948,545
A,E,1949,480
A,E,1950,473
A,E,1951,477
A,E,1952,410
A,E,1953,393
A,E,1954,393
A,E,1955,311
A,E,1956,321
A,E,1957,315
A,E,1958,259
A,E,1959,276
A,E,1960,227
A,E,1961,214
A,E,1962,173
A,E,1963,164
A,E,1964,165
A,E,1965,137
A,E,1966,127
A,E,1967,96
A,E,1968,94
A,E,1969,97
A,E,1970,92
A,E,1971,100
A,E,1972,78
A,E,1973,72
A,E,1974,71
A,E,1975,63
A,E,1976,66
A,E,1977,63
A,E,1978,55
A,E,1979,44
A,E,1980,62
A,E,1981,49
A,E,1982,54
A,E,1983,39
A,E,1984,43
A,E,1985,46
A,E,1986,37
A,E,1987,26
A,E,1988,28
A,E,1989,26
A,E,1990,29
A,E,1991,23
A,E,1992,15
A,E,1993,17
A,E,1994,21
A,E,1995,20
A,E,1996,13
A,E,1997,20
A,E,1998,14
A,E,1999,11
A,E,2000,22
A,E,2001,19
A,E,2002,19
A,E,2003,14
A,E,2004,22
A,E,2005,12
A,E,2006,18
A,E,2007,22
A,E,2008,17
A,E,2009,5
A,E,2010,10
A,E,2011,3
A,F,1800,0
A,F,1801,0
A,F,1802,1
A,F,1803,0
A,F,1804,0
A,F,1805,0
A,F,1806,0
A,F,1807,0
A,F,1808,0
A,F,1809,0
A,F,1810,0
A,F,1811,0
A,F,1812,0
A,F,1813,0
A,F,1814,0
A,F,1815,0
A,F,1816,0
A,F,1817,0
A,F,1818,0
A,F,1819,0
A,F,1820,0
A,F,1821,0
A,F,1822,0
A,F,1823,0
A,F,1824,0
A,F,1825,0
A,F,1826,0
A,F,1827,0
A,F,1828,0
A,F,1829,0
A,F,1830,0
A,F,1831,0
A,F,1832,0
A,F,1833,0
A,F,1834,0
A,F,1835,0
A,F,1836,0
A,F,1837,0
A,F,1838,0
A,F,1839,0
A,F,1840,0
A,F,1841,0
A,F,1842,0
A,F,1843,0
A,F,1844,0
A,F,1845,0
A,F,1846,0
A,F,1847,0
A,F,1848,0
A,F,1849,0
A,F,1850,0
A,F,1851,0
A,F,1852,0
A,F,1853,0
A,F,1854,0
A,F,1855,0
A,F,1856,0
A,F,1857,0
A,F,1858,0
